,URL,Category,RawCategory,MatchCategory,""""
0,www.viator.com/Amsterdam/d525-ttd,Global,/Global/Global,Global,"""www.viator.com/Amsterdam/d525-ttd"""
1,www.viator.com/Amsterdam-tours/Cruises-Sailing-and-Water-Tours/d525-g3,Cruises & Sailing,/Amsterdam-tours/Cruises-Sailing-and-Water-Tours/d525-g3,Cruises-Sailing-and-Water-Tours,"""www.viator.com/Amsterdam-tours/Cruises-Sailing-and-Water-Tours/d525-g3"""
2,www.viator.com/Amsterdam-tours/Day-Trips/d525-g5-c15,Day Trips,/Amsterdam-tours/Day-Trips/d525-g5-c15,Day-Trips,"""www.viator.com/Amsterdam-tours/Day-Trips/d525-g5-c15"""
3,www.viator.com/Amsterdam-tours/Canal-Cruises/d525-tag21709,Canal Cruises,/Amsterdam-tours/Canal-Cruises/d525-tag21709,Canal-Cruises,"""www.viator.com/Amsterdam-tours/Canal-Cruises/d525-tag21709"""
4,www.viator.com/Amsterdam-tours/Walking-Tours/d525-g16-c56,Walking Tours,/Amsterdam-tours/Walking-Tours/d525-g16-c56,Walking-Tours,"""www.viator.com/Amsterdam-tours/Walking-Tours/d525-g16-c56"""
5,www.viator.com/Amsterdam-tours/Full-day-Tours/d525-g12-c94,Full-day Tours,/Amsterdam-tours/Full-day-Tours/d525-g12-c94,Full-day-Tours,"""www.viator.com/Amsterdam-tours/Full-day-Tours/d525-g12-c94"""
6,www.viator.com/Amsterdam-tours/Private-Sightseeing-Tours/d525-g26-c116,Private Sightseeing Tours,/Amsterdam-tours/Private-Sightseeing-Tours/d525-g26-c116,Private-Sightseeing-Tours,"""www.viator.com/Amsterdam-tours/Private-Sightseeing-Tours/d525-g26-c116"""
7,www.viator.com/Amsterdam-tours/Half-day-Tours/d525-g12-c95,Half-day Tours,/Amsterdam-tours/Half-day-Tours/d525-g12-c95,Half-day-Tours,"""www.viator.com/Amsterdam-tours/Half-day-Tours/d525-g12-c95"""
8,www.viator.com/Amsterdam-tours/Luxury-Tours/d525-g25-c113,Private and Luxury,/Amsterdam-tours/Luxury-Tours/d525-g25-c113,Luxury-Tours,"""www.viator.com/Amsterdam-tours/Luxury-Tours/d525-g25-c113"""
9,www.viator.com/Amsterdam-tours/Day-Cruises/d525-g3-c7,Day Cruises,/Amsterdam-tours/Day-Cruises/d525-g3-c7,Day-Cruises,"""www.viator.com/Amsterdam-tours/Day-Cruises/d525-g3-c7"""
10,www.viator.com/Amsterdam-tours/Cultural-Tours/d525-g4-c11,Cultural Tours,/Amsterdam-tours/Cultural-Tours/d525-g4-c11,Cultural-Tours,"""www.viator.com/Amsterdam-tours/Cultural-Tours/d525-g4-c11"""
11,www.viator.com/Amsterdam-tours/Water-Tours/d525-g3-c40295,Water Tours,/Amsterdam-tours/Water-Tours/d525-g3-c40295,Water-Tours,"""www.viator.com/Amsterdam-tours/Water-Tours/d525-g3-c40295"""
12,www.viator.com/Amsterdam-tours/Bus-and-Minivan-Tours/d525-g12-c98,Bus Tours,/Amsterdam-tours/Bus-and-Minivan-Tours/d525-g12-c98,Bus-and-Minivan-Tours,"""www.viator.com/Amsterdam-tours/Bus-and-Minivan-Tours/d525-g12-c98"""
13,www.viator.com/Amsterdam-tours/Sightseeing/d525-tag21725,Sightseeing Tours,/Amsterdam-tours/Sightseeing/d525-tag21725,Sightseeing,"""www.viator.com/Amsterdam-tours/Sightseeing/d525-tag21725"""
14,www.viator.com/Amsterdam-tours/City-Tours/d525-g12-c5330,City Tours,/Amsterdam-tours/City-Tours/d525-g12-c5330,City-Tours,"""www.viator.com/Amsterdam-tours/City-Tours/d525-g12-c5330"""
15,www.viator.com/Amsterdam-tours/Historical-and-Heritage-Tours/d525-g4-c12,Historical Tours,/Amsterdam-tours/Historical-and-Heritage-Tours/d525-g4-c12,Historical-and-Heritage-Tours,"""www.viator.com/Amsterdam-tours/Historical-and-Heritage-Tours/d525-g4-c12"""
16,www.viator.com/Amsterdam-tours/Bike-and-Mountain-Bike-Tours/d525-g16-c55,Mountain Bike Tours,/Amsterdam-tours/Bike-and-Mountain-Bike-Tours/d525-g16-c55,Bike-and-Mountain-Bike-Tours,"""www.viator.com/Amsterdam-tours/Bike-and-Mountain-Bike-Tours/d525-g16-c55"""
17,www.viator.com/Amsterdam-tours/Night-Cruises/d525-g3-c9,Night Cruises,/Amsterdam-tours/Night-Cruises/d525-g3-c9,Night-Cruises,"""www.viator.com/Amsterdam-tours/Night-Cruises/d525-g3-c9"""
18,www.viator.com/Amsterdam-tours/Unique-Experiences/d525-g50127-c50128,Unique Experiences,/Amsterdam-tours/Unique-Experiences/d525-g50127-c50128,Unique-Experiences,"""www.viator.com/Amsterdam-tours/Unique-Experiences/d525-g50127-c50128"""
19,www.viator.com/Amsterdam-tours/Hop-on-Hop-off-Tours/d525-g12-c97,Hop on Hop Off Buses,/Amsterdam-tours/Hop-on-Hop-off-Tours/d525-g12-c97,Hop-on-Hop-off-Tours,"""www.viator.com/Amsterdam-tours/Hop-on-Hop-off-Tours/d525-g12-c97"""
20,www.viator.com/Amsterdam-tours/Dinner-Cruises/d525-g3-c5640,Dinner Cruises,/Amsterdam-tours/Dinner-Cruises/d525-g3-c5640,Dinner-Cruises,"""www.viator.com/Amsterdam-tours/Dinner-Cruises/d525-g3-c5640"""
21,www.viator.com/Amsterdam-tours/Literary-Art-and-Music-Tours/d525-g4-c14,Art Tours,/Amsterdam-tours/Literary-Art-and-Music-Tours/d525-g4-c14,Literary-Art-and-Music-Tours,"""www.viator.com/Amsterdam-tours/Literary-Art-and-Music-Tours/d525-g4-c14"""
23,www.viator.com/Amsterdam-tours/Art-and-Culture/d525-tag21910,Art & Culture,/Amsterdam-tours/Art-and-Culture/d525-tag21910,Art-and-Culture,"""www.viator.com/Amsterdam-tours/Art-and-Culture/d525-tag21910"""
24,www.viator.com/Amsterdam-tours/Classes-and-Workshops/d525-g26051,Classes & Workshops,/Amsterdam-tours/Classes-and-Workshops/d525-g26051,Classes-and-Workshops,"""www.viator.com/Amsterdam-tours/Classes-and-Workshops/d525-g26051"""
25,www.viator.com/Amsterdam-tours/Food-Wine-and-Nightlife/d525-g6,Food & Drink,/Amsterdam-tours/Food-Wine-and-Nightlife/d525-g6,Food-Wine-and-Nightlife,"""www.viator.com/Amsterdam-tours/Food-Wine-and-Nightlife/d525-g6"""
26,www.viator.com/Amsterdam-tours/LTSO-Viator-Market-Driven-Merchandising/d525-tag22083,Likely To Sell Out,/Amsterdam-tours/LTSO-Viator-Market-Driven-Merchandising/d525-tag22083,LTSO-Viator-Market-Driven-Merchandising,"""www.viator.com/Amsterdam-tours/LTSO-Viator-Market-Driven-Merchandising/d525-tag22083"""
27,www.viator.com/Amsterdam-tours/Outdoor-Activities/d525-g9,Outdoor Activities,/Amsterdam-tours/Outdoor-Activities/d525-g9,Outdoor-Activities,"""www.viator.com/Amsterdam-tours/Outdoor-Activities/d525-g9"""
28,www.viator.com/Amsterdam-tours/Seasonal-and-Special-Occasions/d525-tag21916,Seasonal & Special Occasions,/Amsterdam-tours/Seasonal-and-Special-Occasions/d525-tag21916,Seasonal-and-Special-Occasions,"""www.viator.com/Amsterdam-tours/Seasonal-and-Special-Occasions/d525-tag21916"""
29,www.viator.com/Amsterdam-tours/Sightseeing-Tickets-and-Passes/d525-g8,Tickets & Passes,/Amsterdam-tours/Sightseeing-Tickets-and-Passes/d525-g8,Sightseeing-Tickets-and-Passes,"""www.viator.com/Amsterdam-tours/Sightseeing-Tickets-and-Passes/d525-g8"""
30,www.viator.com/Amsterdam-tours/Tours-and-Sightseeing/d525-g12,"Tours, Sightseeing & Cruises",/Amsterdam-tours/Tours-and-Sightseeing/d525-g12,Tours-and-Sightseeing,"""www.viator.com/Amsterdam-tours/Tours-and-Sightseeing/d525-g12"""
31,www.viator.com/Amsterdam-tours/Transfers-and-Ground-Transport/d525-g15,Travel & Transportation Services,/Amsterdam-tours/Transfers-and-Ground-Transport/d525-g15,Transfers-and-Ground-Transport,"""www.viator.com/Amsterdam-tours/Transfers-and-Ground-Transport/d525-g15"""
44,www.viator.com/Athens/d496-ttd,Global,/Global/Global,Global,"""www.viator.com/Athens/d496-ttd"""
45,www.viator.com/Athens-tours/Half-day-Tours/d496-g12-c95,Half-day Tours,/Athens-tours/Half-day-Tours/d496-g12-c95,Half-day-Tours,"""www.viator.com/Athens-tours/Half-day-Tours/d496-g12-c95"""
46,www.viator.com/Athens-tours/Cruises-Sailing-and-Water-Tours/d496-g3,Cruises & Sailing,/Athens-tours/Cruises-Sailing-and-Water-Tours/d496-g3,Cruises-Sailing-and-Water-Tours,"""www.viator.com/Athens-tours/Cruises-Sailing-and-Water-Tours/d496-g3"""
47,www.viator.com/Athens-tours/Private-Sightseeing-Tours/d496-g26-c116,Private Sightseeing Tours,/Athens-tours/Private-Sightseeing-Tours/d496-g26-c116,Private-Sightseeing-Tours,"""www.viator.com/Athens-tours/Private-Sightseeing-Tours/d496-g26-c116"""
48,www.viator.com/Athens-tours/Day-Trips/d496-g5-c15,Day Trips,/Athens-tours/Day-Trips/d496-g5-c15,Day-Trips,"""www.viator.com/Athens-tours/Day-Trips/d496-g5-c15"""
