,URL,Category,RawCategory,MatchCategory,City
0,https://www.viator.com/Amsterdam/d525-ttd,Global,/Global/Global,Global,Amsterdam
1,https://www.viator.com/Amsterdam-tours/Cruises-Sailing-and-Water-Tours/d525-g3,Cruises & Sailing,/Amsterdam-tours/Cruises-Sailing-and-Water-Tours/d525-g3,Cruises-Sailing-and-Water-Tours,Amsterdam
2,https://www.viator.com/Amsterdam-tours/Day-Trips/d525-g5-c15,Day Trips,/Amsterdam-tours/Day-Trips/d525-g5-c15,Day-Trips,Amsterdam
3,https://www.viator.com/Amsterdam-tours/Canal-Cruises/d525-tag21709,Canal Cruises,/Amsterdam-tours/Canal-Cruises/d525-tag21709,Canal-Cruises,Amsterdam
4,https://www.viator.com/Amsterdam-tours/Walking-Tours/d525-g16-c56,Walking Tours,/Amsterdam-tours/Walking-Tours/d525-g16-c56,Walking-Tours,Amsterdam
5,https://www.viator.com/Amsterdam-tours/Full-day-Tours/d525-g12-c94,Full-day Tours,/Amsterdam-tours/Full-day-Tours/d525-g12-c94,Full-day-Tours,Amsterdam
6,https://www.viator.com/Amsterdam-tours/Private-Sightseeing-Tours/d525-g26-c116,Private Sightseeing Tours,/Amsterdam-tours/Private-Sightseeing-Tours/d525-g26-c116,Private-Sightseeing-Tours,Amsterdam
7,https://www.viator.com/Amsterdam-tours/Half-day-Tours/d525-g12-c95,Half-day Tours,/Amsterdam-tours/Half-day-Tours/d525-g12-c95,Half-day-Tours,Amsterdam
8,https://www.viator.com/Amsterdam-tours/Luxury-Tours/d525-g25-c113,Private and Luxury,/Amsterdam-tours/Luxury-Tours/d525-g25-c113,Luxury-Tours,Amsterdam
9,https://www.viator.com/Amsterdam-tours/Day-Cruises/d525-g3-c7,Day Cruises,/Amsterdam-tours/Day-Cruises/d525-g3-c7,Day-Cruises,Amsterdam
10,https://www.viator.com/Amsterdam-tours/Cultural-Tours/d525-g4-c11,Cultural Tours,/Amsterdam-tours/Cultural-Tours/d525-g4-c11,Cultural-Tours,Amsterdam
11,https://www.viator.com/Amsterdam-tours/Water-Tours/d525-g3-c40295,Water Tours,/Amsterdam-tours/Water-Tours/d525-g3-c40295,Water-Tours,Amsterdam
12,https://www.viator.com/Amsterdam-tours/Bus-and-Minivan-Tours/d525-g12-c98,Bus Tours,/Amsterdam-tours/Bus-and-Minivan-Tours/d525-g12-c98,Bus-and-Minivan-Tours,Amsterdam
13,https://www.viator.com/Amsterdam-tours/Sightseeing/d525-tag21725,Sightseeing Tours,/Amsterdam-tours/Sightseeing/d525-tag21725,Sightseeing,Amsterdam
