Category_match,Category,SortValue,,
Global,Global,1,Global,Global
4WD-ATV-and-Off-Road-Tours,4WD Tours,2,4WD Tours,
Acropolis,Acropolis,3,#N/A,Acropolis
Adrenaline-and-Extreme,Extreme Sports,4,Extreme Sports,
adventure,adventure,5,#N/A,adventure
Adventure-Tours,Adventure Tours,6,Adventure Tours,
Agora-of-Athens,Agora-of-Athens,7,#N/A,Agora-of-Athens
Airport-and-Ground-Transfers,Airport-and-Ground-Transfers,8,Airport & Hotel Transfers,Airport & Hotel Transfers
Airport-and-Ground-Transfers-APC,Airport-and-Ground-Transfers-APC,9,#N/A,Airport-and-Ground-Transfers-APC
Airport-Services,Transportation Services,10,Transportation Services,
All-Cruises,All-Cruises,11,#N/A,All-Cruises
Ancient-Ruins-Product-Tickets-and-Passes,Ancient Ruins,12,Ancient Ruins,
Archaeology-Tours,Archaeology Tours,13,Archaeology Tours,
Archaeology-Tours-Attraction-Product-Category,Archaeology-Tours-Attraction-Product-Category,14,#N/A,Archaeology-Tours-Attraction-Product-Category
Architecture-Tours,Architecture-Tours,15,#N/A,Architecture-Tours
Art-and-Culture,Art-and-Culture,16,Art & Culture,Art & Culture
Arts-and-Design,Arts-and-Design,17,Arts & Design,Arts & Design
Athens-War-Museum-Polemiko-Mouseio,Athens-War-Museum-Polemiko-Mouseio,18,#N/A,Athens-War-Museum-Polemiko-Mouseio
ATV-Tour,ATV Tours,19,ATV Tours,
Audio-Guided-Tours,Audio-Guided-Tours,20,Audio Guides,Audio Guides
Bar-Club-and-Pub-Tours-APC,Bar-Club-and-Pub-Tours-APC,21,#N/A,Bar-Club-and-Pub-Tours-APC
Beer-and-Brewery-Tours,Beer-and-Brewery-Tours,22,#N/A,Beer-and-Brewery-Tours
Bike-and-Mountain-Bike-Tours,Bike-and-Mountain-Bike-Tours,23,Mountain Bike Tours,Mountain Bike Tours
Bike-Tours-Product-Tours-and-Sightseeing,Bike Tours,24,Bike Tours,
bundle,bundle,25,#N/A,bundle
Bus-and-Minivan-Tours,Bus-and-Minivan-Tours,26,Bus Tours,Bus Tours
Cabaret,Cabaret,27,Cabaret,
Cabaret-Attraction-Product-Category,Cabaret-Attraction-Product-Category,28,#N/A,Cabaret-Attraction-Product-Category
Cable-Car-Tours,Cable Car Tours,29,Cable Car Tours,
Camel-Rides,Camel Rides,30,Camel Rides,
Canal-Cruises,Canal Cruises,31,Canal Cruises,
Car-Tours,Car-Tours,32,Car Tours,Car Tours
Catamaran-Cruises,Catamaran-Cruises,33,Catamaran Cruises,Catamaran Cruises
City-Tours,City-Tours,34,City Tours,City Tours
City-Tours-Attraction-Product-Category,City-Tours-Attraction-Product-Category,35,#N/A,City-Tours-Attraction-Product-Category
Classes-and-Workshops,Classes-and-Workshops,36,Classes & Workshops,Classes & Workshops
Classical-Music,Classical Music,37,Classical Music,
Classic-Car-Tours,Classic Car Tours,38,Classic Car Tours,
Cooking-Classes,Cooking Classes,39,Cooking Classes,
Cooking-Classes-Attraction-Product-Category,Cooking-Classes-Attraction-Product-Category,40,#N/A,Cooking-Classes-Attraction-Product-Category
Cruises-Sailing-and-Water-Tours,Cruises-Sailing-and-Water-Tours,41,Cruises & Sailing,Cruises & Sailing
Cultural-Tours,Cultural-Tours,42,Cultural Tours,Cultural Tours
Cultural-Tours-Attraction-Product-Category,Cultural-Tours-Attraction-Product-Category,43,#N/A,Cultural-Tours-Attraction-Product-Category
Culture,Culture,44,Culture,Culture
d508-ttd,All Naples Tours,45,All Naples Tours,
Day-Cruises,Day-Cruises,46,Day Cruises,Day Cruises
dayTrip,dayTrip,47,#N/A,dayTrip
dayTrip-cityCard,dayTrip-cityCard,48,#N/A,dayTrip-cityCard
Day-Trips,Day-Trips,49,Day Trips,Day Trips
Delphi,Delphi,50,#N/A,Delphi
Dhow-Cruises,Dhow Cruises,51,Dhow Cruises,
Dining-Experiences,Dining-Experiences,52,#N/A,Dining-Experiences
Dinner-Cruises,Dinner-Cruises,53,Dinner Cruises,Dinner Cruises
Disney-Parks,Disney-Parks,54,Disney® Parks,Disney® Parks
Distillery-Tours,Distillery-Tours,55,#N/A,Distillery-Tours
